consumo_mwh,anio,mes
1365134.11,2021,6
1369843.94,2021,7
1377124.299,2021,8
1381155.204,2021,9
1418232.566,2021,10
1493168.54,2021,11
1521980.401,2021,12
1386507.81,2022,1
1194675.819,2022,2
1222744.872,2022,3
1187067.148,2022,4
1170291.344,2022,5
1137849.569,2022,6
1097227.462,2022,7
1038750.723,2022,8
1029103.991,2022,9
1039722.15,2022,10
1087367.547,2022,11
1170300.268,2022,12
1242362.771,2023,1
1134335.878,2023,2
1175476.599,2023,3
1030334.959,2023,4
1047709.216,2023,5
1025662.86,2023,6
1010884.462,2023,7
1013249.397,2023,8
1027352.866,2023,9
1090071.41,2023,10
1154786.131,2023,11
1233687.47,2023,12
1294699.0,2024,1
1174078.712,2024,2
1260271.236,2024,3
1149152.141,2024,4
1141079.961,2024,5
1068108.154,2024,6
1099246.548,2024,7
1089154.133,2024,8
1090614.388,2024,9
1154706.224,2024,10
1145842.455,2024,11
1241734.134,2024,12
1314714.082,2025,1
1180066.739,2025,2
1235254.206,2025,3
1084288.206,2025,4
1120654.06,2025,5
